onset	duration	trial_type	eye_onset
0.5070962923	0.1	106	9274957
0.5090978907	2.4	109	9274958
3.1021033393	0.1	106	9274974
3.1621010022	2.4	109	9274975
5.7550963925	0.1	106	9274981
5.8150940554	2.3	109	9274982
8.3051026778	0.1	106	9275004
8.3651003407	2.3	109	9275005
10.8550989048	0.1	106	9275025
10.9150965677	2.4	109	9275026
13.5081020163	0.1	106	9275056
13.5680996792	2.4	109	9275057
16.1621008979	0.1	106	9275059
16.2220985608	2.4	109	9275062
18.8150939511	0.1	108	9275085
18.8751016723	2.4	109	9275087
21.4680970626	0.1	106	9275107
21.5280947255	2.2	109	9275110
23.9150964634	0.1	108	9275134
23.9750941263	2.2	109	9275135
26.3620958643	0.1	107	9275159
26.4221035855	2.4	109	9275162
29.0150989758	0.1	106	9275184
29.0750966387	2.4	109	9275185
31.6681020873	0.1	106	9275215
31.7280997502	2.3	109	9275216
34.2190940844	0.1	107	9275248
34.2791018056	2.3	109	9275249
36.7691003697	0.1	106	9275259
36.8290980326	2.4	109	9275260
39.4221034812	0.1	106	9275274
39.4821011441	2.4	109	9275275
42.0750965344	0.1	106	9275295
42.1350941973	2.4	109	9275296
44.7280996459	0.1	106	9275310
44.7880973088	2.4	109	9275313
47.3820985274	0.1	108	9275333
47.4411004202	2.3	109	9275334
49.9320947545	0.1	106	9275352
49.9921024756	2.2	109	9275353
52.3790941553	0.1	106	9275359
52.4391018765	2.4	109	9275360
55.0320972668	0.1	108	9275374
55.0920949297	2.3	109	9275375
57.5821035521	0.1	106	9275383
57.642101215	2.2	109	9275384
60.029102953	0.1	106	9275402
60.0891006159	2.4	109	9275403
62.6820960062	0.1	106	9275423
62.7421037273	2.3	109	9275428
65.2321022915	0.1	106	9275442
65.2920999544	2.3	109	9275443
67.7830942886	0.1	106	9275477
67.8431020098	2.2	109	9275478
70.2300936894	0.1	106	9275480
70.2901014106	2.2	109	9275481
72.6771031486	0.1	107	9275507
72.7371008115	2.2	109	9275508
75.1241025494	0.1	107	9275530
75.1841002123	2.4	109	9275531
77.7770956026	0.1	106	9275555
77.8371033238	2.2	109	9275556
80.2240950035	0.1	108	9275572
80.2841027247	2.2	109	9275573
82.6710944043	0.1	106	9275607
82.7311021255	2.3	109	9275608
85.2211006896	0.1	106	9275618
85.2810983526	2.3	109	9275619
87.7721027451	0.1	106	9275643
87.8310945796	2.3	109	9275648
90.3220989721	0.1	106	9275682
90.382096635	2.2	109	9275683
92.7690983729	0.1	107	9275697
92.8290960358	2.4	109	9275698
95.4221014844	0.1	106	9275714
95.4820991473	2.2	109	9275715
97.8691008853	0.1	106	9275737
97.9290985482	2.3	109	9275738
100.4190971123	0.1	108	9275752
100.4790947752	2.3	109	9275753
102.9691033976	0.1	106	9275767
103.0291010605	2.2	109	9275768
105.4161027985	0.1	107	9275792
105.4761004614	2.4	109	9275797
108.07010168	0.1	107	9275813
108.1300993429	2.4	109	9275814
110.7230947332	0.1	106	9275836
110.7831024544	2.4	109	9275837
113.3760978447	0.1	108	9275861
113.4360955076	2.4	109	9275864
116.0291009562	0.1	106	9275894
116.0890986191	2.2	109	9275895
118.4761003571	0.1	106	9275907
118.53609802	2.2	109	9275910
120.9230997579	0.1	107	9275928
120.9830974208	2.2	109	9275929
123.3700991588	0.1	106	9275947
123.4300968217	2.3	109	9275948
125.9211012142	0.1	106	9275984
125.9810988771	2.3	109	9275985
128.4710974412	0.1	106	9276009
128.5310951041	2.2	109	9276010
130.9180968421	0.1	106	9276028
130.978094505	2.2	109	9276029
133.3650962429	0.1	106	9276035
133.4251039641	2.4	109	9276036
136.0180993544	0.1	108	9276052
136.0780970173	2.3	109	9276053
138.5680955814	0.1	106	9276075
138.6281033026	2.2	109	9276078
141.0150949823	0.1	106	9276092
141.0751027035	2.3	109	9276095
143.5651012676	0.1	108	9276119
143.6250989305	2.3	109	9276120
146.116103323	0.1	108	9276126
146.1761009859	2.2	109	9276127
148.5631027238	0.1	106	9276157
148.6231003867	2.4	109	9276158
151.216095777	0.1	107	9276170
151.2761034982	2.3	109	9276171
153.7661020623	0.1	106	9276193
153.8260997252	2.2	109	9276194
156.2131014632	0.1	106	9276208
156.2730991261	2.3	109	9276209
158.7630976902	0.1	106	9276223
158.8230953531	2.2	109	9276224
161.2100970911	0.1	106	9276238
161.270094754	2.4	109	9276239
163.8631002026	0.1	107	9276267
163.9230978655	2.2	109	9276268
166.3110953735	0.1	106	9276286
166.3711030947	2.2	109	9276287
168.7580947744	0.1	106	9276309
168.8181024956	2.4	109	9276310
171.4110978858	0.1	106	9276320
171.4710955487	2.2	109	9276321
173.8580972867	0.1	108	9276331
173.9180949496	2.3	109	9276332
176.408103572	0.1	107	9276346
176.4681012349	2.2	109	9276347
178.8551029729	0.1	106	9276365
178.9151006358	2.3	109	9276366
181.4050991999	0.1	106	9276402
181.4650968628	2.3	109	9276403
183.9550954269	0.1	106	9276433
